RunID,RunDate,LineID,ProductID,ShiftName,UnitsProduced,DefectUnits,DowntimeMinutes,DefectRatePct
132,2026-04-22,5,3001,Night,238,14,48.0,5.88
133,2026-04-28,1,3015,Morning,3673,213,25.0,5.8
134,2026-06-01,4,3000,Morning,207,2,15.0,0.97
135,2026-05-27,5,3012,Afternoon,518,22,117.0,4.25
136,2026-05-25,4,3012,Morning,4954,188,104.0,3.79
137,2026-05-03,2,3003,Afternoon,4340,186,52.0,4.29
138,2026-06-26,1,3014,Night,3596,37,25.0,1.03
139,2026-04-08,4,3003,Night,4210,64,21.0,1.52
140,2026-05-01,3,3004,Morning,561,5,109.0,0.89
141,2026-04-11,1,3015,Afternoon,626,23,39.0,3.67
142,2026-05-01,2,3018,Afternoon,1643,97,1.0,5.9
143,2026-06-26,5,3005,Morning,314,13,47.0,4.14
144,2026-05-03,2,3017,Afternoon,4463,196,54.0,4.39
145,2026-06-21,1,3017,Afternoon,470,27,74.0,5.74
146,2026-05-15,4,3014,Night,2811,118,40.0,4.2
147,2026-06-02,1,3002,Morning,4297,30,110.0,0.7
148,2026-05-12,5,3005,Morning,3727,196,77.0,5.26
149,2026-04-24,5,3012,Night,1326,33,118.0,2.49
150,2026-06-08,5,3018,Night,2457,12,44.0,0.49
151,2026-06-27,5,3015,Morning,2831,93,78.0,3.29
152,2026-04-24,2,3007,Morning,3886,219,43.0,5.64
153,2026-06-10,2,3004,Afternoon,2245,42,83.0,1.87
154,2026-04-24,2,3018,Night,1568,50,89.0,3.19
155,2026-06-04,3,3005,Morning,4018,58,38.0,1.44
156,2026-06-11,5,3006,Morning,4455,36,112.0,0.81
157,2026-05-11,4,3018,Night,2546,24,102.0,0.94
158,2026-06-06,4,3010,Night,334,15,107.0,4.49
159,2026-04-25,5,3005,Night,2603,136,26.0,5.22
160,2026-04-08,4,3000,Night,4468,57,86.0,1.28
161,2026-04-09,2,3008,Night,4947,103,12.0,2.08
162,2026-05-11,3,3018,Morning,2124,33,12.0,1.55
163,2026-06-21,3,3008,Morning,920,5,116.0,0.54
164,2026-04-12,1,3013,Morning,2946,104,18.0,3.53
165,2026-05-12,4,3004,Morning,4187,182,103.0,4.35
166,2026-06-03,4,3014,Night,4736,192,51.0,4.05
167,2026-04-19,4,3014,Afternoon,448,11,36.0,2.46
168,2026-06-04,3,3011,Morning,1594,56,0.0,3.51
169,2026-04-28,4,3014,Morning,2492,25,81.0,1.0
170,2026-06-12,5,3010,Morning,671,9,86.0,1.34
171,2026-05-23,3,3007,Afternoon,4454,250,56.0,5.61
172,2026-05-20,3,3014,Afternoon,738,34,97.0,4.61
173,2026-04-16,1,3015,Morning,3393,189,38.0,5.57
174,2026-05-12,4,3015,Night,4609,255,66.0,5.53
175,2026-06-17,5,3004,Morning,3489,142,34.0,4.07
176,2026-04-02,4,3012,Afternoon,3863,216,69.0,5.59
177,2026-06-08,5,3000,Afternoon,1463,40,16.0,2.73
178,2026-05-15,5,3010,Afternoon,4171,21,57.0,0.5
179,2026-06-04,4,3010,Night,2209,18,65.0,0.81
180,2026-05-30,3,3006,Night,494,5,66.0,1.01
181,2026-05-09,1,3018,Morning,1959,20,53.0,1.02
182,2026-04-28,1,3016,Afternoon,1879,45,77.0,2.39
183,2026-05-27,2,3000,Morning,2702,117,61.0,4.33
184,2026-04-13,3,3003,Afternoon,1471,71,33.0,4.83
185,2026-05-23,4,3003,Afternoon,2418,90,25.0,3.72
186,2026-04-09,3,3017,Afternoon,2254,29,77.0,1.29
187,2026-05-29,1,3009,Morning,1769,81,112.0,4.58
188,2026-05-27,2,3013,Morning,3541,86,90.0,2.43
189,2026-04-08,5,3015,Morning,1666,9,76.0,0.54
190,2026-06-08,5,3014,Morning,3875,79,110.0,2.04
191,2026-05-08,2,3001,Afternoon,1404,32,107.0,2.28
192,2026-06-10,5,3002,Night,4351,87,60.0,2.0
193,2026-04-04,4,3007,Morning,1952,96,13.0,4.92
194,2026-04-17,5,3006,Morning,395,18,76.0,4.56
195,2026-05-15,5,3014,Afternoon,919,39,74.0,4.24
196,2026-04-17,4,3002,Night,4070,51,33.0,1.25
197,2026-04-30,2,3007,Morning,4386,216,101.0,4.92
198,2026-05-30,4,3004,Morning,1217,51,104.0,4.19
199,2026-04-14,2,3003,Afternoon,3090,48,39.0,1.55
200,2026-05-31,2,3003,Afternoon,2956,120,57.0,4.06
201,2026-04-10,4,3003,Night,842,26,23.0,3.09
202,2026-04-16,3,3010,Morning,2369,69,21.0,2.91
203,2026-05-23,3,3007,Morning,3530,39,31.0,1.1
204,2026-06-11,2,3008,Afternoon,4842,162,43.0,3.35
205,2026-04-16,3,3009,Afternoon,4268,44,32.0,1.03
206,2026-04-27,1,3014,Night,669,9,18.0,1.35
207,2026-06-23,4,3016,Afternoon,1340,16,53.0,1.19
208,2026-06-29,3,3010,Afternoon,2296,131,74.0,5.71
209,2026-05-23,5,3012,Morning,922,19,39.0,2.06
210,2026-05-11,3,3014,Morning,2939,72,64.0,2.45
211,2026-05-02,3,3013,Night,241,5,32.0,2.07
212,2026-05-26,1,3002,Morning,744,40,84.0,5.38
213,2026-05-24,1,3018,Afternoon,426,15,77.0,3.52
214,2026-04-27,2,3003,Night,1618,89,115.0,5.5
215,2026-04-03,2,3007,Night,3858,82,6.0,2.13
216,2026-04-14,2,3012,Morning,1050,11,102.0,1.05
217,2026-06-26,2,3007,Morning,4938,175,40.0,3.54
218,2026-05-08,4,3004,Night,1493,35,7.0,2.34
219,2026-05-14,1,3017,Night,415,20,82.0,4.82
220,2026-05-13,2,3001,Morning,1810,96,20.0,5.3
221,2026-06-10,1,3004,Afternoon,3790,117,21.0,3.09
222,2026-04-06,2,3018,Morning,711,41,117.0,5.77
223,2026-04-08,4,3013,Night,544,19,26.0,3.49
224,2026-04-25,1,3001,Night,4276,85,65.0,1.99
225,2026-05-14,2,3014,Morning,3042,97,24.0,3.19
226,2026-05-31,1,3018,Afternoon,1847,13,14.0,0.7
227,2026-05-15,5,3001,Afternoon,3829,188,0.0,4.91
228,2026-05-10,4,3007,Morning,4252,44,1.0,1.03
229,2026-06-24,2,3008,Morning,1924,42,56.0,2.18
230,2026-04-15,1,3002,Night,2893,104,52.0,3.59
231,2026-05-22,1,3003,Afternoon,252,1,4.0,0.4
232,2026-05-19,3,3003,Morning,1669,15,41.0,0.9
233,2026-05-13,4,3003,Morning,3056,132,32.0,4.32
234,2026-06-12,3,3007,Afternoon,1146,10,68.0,0.87
235,2026-04-25,5,3008,Night,4957,154,119.0,3.11
236,2026-06-25,2,3004,Afternoon,4861,114,82.0,2.35
237,2026-04-30,2,3005,Night,1436,25,110.0,1.74
238,2026-05-20,3,3003,Afternoon,2102,32,23.0,1.52
239,2026-05-17,2,3015,Night,1109,52,25.0,4.69
240,2026-06-16,5,3004,Night,2618,150,90.0,5.73
241,2026-05-10,1,3017,Morning,794,10,37.0,1.26
242,2026-04-26,3,3010,Morning,2076,119,101.0,5.73
243,2026-04-02,3,3015,Night,2865,108,55.0,3.77
244,2026-05-03,1,3012,Night,3136,126,24.0,4.02
245,2026-06-14,3,3005,Morning,3062,134,101.0,4.38
246,2026-04-01,3,3011,Afternoon,1262,55,66.0,4.36
247,2026-06-20,2,3005,Night,4002,200,96.0,5.0
248,2026-05-19,1,3002,Night,3520,111,54.0,3.15
249,2026-04-13,1,3004,Morning,3814,130,15.0,3.41
250,2026-04-28,1,3005,Night,2445,55,81.0,2.25
251,2026-05-20,3,3002,Afternoon,4484,48,14.0,1.07
252,2026-04-29,1,3000,Night,2071,86,79.0,4.15
253,2026-04-10,5,3017,Morning,4067,27,50.0,0.66
254,2026-05-30,2,3009,Afternoon,1176,23,94.0,1.96
255,2026-05-31,4,3007,Morning,1386,14,104.0,1.01
256,2026-04-11,4,3017,Afternoon,2728,42,48.0,1.54
257,2026-04-26,3,3004,Morning,2868,115,105.0,4.01
258,2026-04-22,5,3007,Afternoon,3781,149,13.0,3.94
259,2026-05-30,1,3016,Night,1627,45,12.0,2.77
260,2026-06-05,2,3012,Afternoon,4388,43,119.0,0.98
261,2026-06-05,2,3007,Morning,1782,51,68.0,2.86
262,2026-06-24,1,3004,Afternoon,2764,67,54.0,2.42
263,2026-06-09,2,3000,Afternoon,4673,208,0.0,4.45
264,2026-04-29,2,3001,Night,2789,102,34.0,3.66
265,2026-04-10,4,3003,Morning,3473,111,82.0,3.2
266,2026-05-26,2,3014,Morning,4561,144,0.0,3.16
267,2026-06-22,5,3012,Afternoon,4878,283,109.0,5.8
268,2026-06-27,4,3008,Night,2597,121,0.0,4.66
269,2026-04-21,5,3014,Afternoon,2201,71,54.0,3.23
270,2026-04-22,1,3003,Morning,1145,35,19.0,3.06
271,2026-04-04,5,3004,Morning,2779,17,9.0,0.61
272,2026-04-13,4,3007,Night,4608,261,52.0,5.66
273,2026-05-20,5,3017,Night,2538,57,69.0,2.25
274,2026-05-20,2,3011,Morning,1872,35,12.0,1.87
275,2026-05-04,5,3016,Morning,714,42,49.0,5.88
276,2026-04-28,3,3004,Morning,2070,92,76.0,4.44
277,2026-06-14,1,3016,Afternoon,1336,10,97.0,0.75
278,2026-05-12,3,3001,Night,4888,41,112.0,0.84
279,2026-06-12,1,3004,Morning,2732,17,40.0,0.62
280,2026-06-26,5,3009,Night,857,32,47.0,3.73
281,2026-04-29,2,3000,Morning,523,4,104.0,0.76
282,2026-04-19,2,3016,Night,4283,241,83.0,5.63
283,2026-06-25,3,3016,Morning,4671,264,32.0,5.65
284,2026-05-28,3,3010,Night,3862,135,82.0,3.5
285,2026-04-27,1,3005,Afternoon,794,30,18.0,3.78
286,2026-05-26,5,3001,Morning,671,14,53.0,2.09
287,2026-05-17,5,3011,Morning,1150,9,36.0,0.78
288,2026-06-21,4,3010,Night,3805,173,119.0,4.55
289,2026-04-24,4,3014,Afternoon,3873,41,4.0,1.06
290,2026-06-29,3,3011,Afternoon,4221,40,102.0,0.95
291,2026-06-24,3,3002,Night,665,14,33.0,2.11
292,2026-04-17,3,3002,Afternoon,935,5,4.0,0.53
293,2026-04-15,1,3014,Afternoon,4521,130,79.0,2.88
294,2026-05-18,1,3003,Afternoon,4657,204,81.0,4.38
295,2026-04-05,2,3017,Morning,3683,180,17.0,4.89
296,2026-04-27,3,3002,Morning,708,27,4.0,3.81
297,2026-05-10,1,3013,Morning,529,27,13.0,5.1
298,2026-06-27,1,3018,Afternoon,466,12,0.0,2.58
299,2026-06-29,5,3008,Afternoon,3520,181,15.0,5.14
300,2026-04-14,2,3001,Night,4260,139,84.0,3.26
301,2026-06-20,3,3016,Night,3231,55,9.0,1.7
302,2026-04-09,3,3003,Morning,1458,83,94.0,5.69
303,2026-06-07,4,3010,Night,3835,77,104.0,2.01
304,2026-06-16,4,3018,Night,483,3,86.0,0.62
305,2026-06-20,2,3014,Afternoon,4175,76,113.0,1.82
306,2026-04-21,5,3000,Afternoon,4481,112,112.0,2.5
307,2026-06-20,2,3015,Morning,3648,88,5.0,2.41
308,2026-04-11,5,3003,Morning,4420,149,41.0,3.37
309,2026-05-17,3,3014,Morning,3013,161,91.0,5.34
310,2026-05-13,1,3011,Afternoon,2448,51,40.0,2.08
311,2026-04-29,4,3005,Afternoon,1747,58,88.0,3.32
312,2026-04-02,1,3008,Morning,4624,109,92.0,2.36
313,2026-06-09,4,3002,Morning,3546,178,119.0,5.02
314,2026-05-01,1,3018,Morning,1114,15,39.0,1.35
315,2026-05-30,2,3004,Afternoon,4793,51,41.0,1.06
316,2026-05-07,4,3005,Night,484,15,2.0,3.1
317,2026-05-04,5,3009,Afternoon,3020,126,34.0,4.17
318,2026-06-19,3,3012,Morning,1114,54,33.0,4.85
319,2026-04-09,1,3009,Morning,3388,126,54.0,3.72
320,2026-06-06,2,3009,Morning,2180,103,50.0,4.72
321,2026-06-07,5,3011,Night,2298,61,102.0,2.65
322,2026-05-05,4,3016,Night,3423,23,92.0,0.67
323,2026-04-24,1,3007,Morning,3829,43,87.0,1.12
324,2026-04-01,2,3015,Morning,2024,14,0.0,0.69
325,2026-06-24,2,3014,Morning,4988,115,56.0,2.31
326,2026-06-25,1,3018,Night,2592,83,87.0,3.2
327,2026-04-22,5,3017,Morning,969,23,29.0,2.37
328,2026-04-03,4,3015,Night,230,8,50.0,3.48
329,2026-04-12,1,3004,Afternoon,1171,36,87.0,3.07
330,2026-04-07,4,3014,Morning,3517,148,95.0,4.21
331,2026-06-14,3,3013,Night,2789,116,102.0,4.16
332,2026-06-20,1,3005,Afternoon,1821,40,51.0,2.2
333,2026-04-14,3,3012,Night,2510,60,47.0,2.39
334,2026-06-07,1,3004,Morning,4222,156,45.0,3.69
335,2026-04-17,2,3009,Afternoon,2943,111,80.0,3.77
336,2026-05-04,5,3015,Afternoon,478,10,50.0,2.09
337,2026-05-24,4,3003,Afternoon,435,10,48.0,2.3
338,2026-06-04,1,3006,Morning,2513,108,20.0,4.3
339,2026-06-18,5,3015,Afternoon,2140,86,57.0,4.02
340,2026-04-05,3,3008,Night,4282,53,28.0,1.24
341,2026-04-18,5,3018,Night,2998,87,62.0,2.9
342,2026-04-26,4,3000,Morning,3832,207,106.0,5.4
343,2026-04-28,2,3013,Night,3008,21,93.0,0.7
344,2026-06-29,3,3015,Night,1857,96,57.0,5.17
345,2026-06-09,3,3017,Morning,3355,46,117.0,1.37
346,2026-04-29,4,3002,Morning,3182,104,117.0,3.27
347,2026-06-27,2,3018,Night,3657,103,53.0,2.82
348,2026-05-15,2,3007,Morning,1108,6,91.0,0.54
349,2026-05-16,2,3006,Morning,3279,181,41.0,5.52
350,2026-05-10,2,3006,Afternoon,1570,47,105.0,2.99
351,2026-04-13,1,3012,Afternoon,3993,229,44.0,5.74
352,2026-06-24,1,3012,Afternoon,4032,83,30.0,2.06
353,2026-04-02,5,3009,Afternoon,3198,168,16.0,5.25
354,2026-04-16,1,3001,Night,4744,264,101.0,5.56
355,2026-04-21,5,3018,Night,2780,99,35.0,3.56
356,2026-04-26,1,3004,Morning,320,5,97.0,1.56
357,2026-04-12,4,3001,Morning,3109,132,10.0,4.25
358,2026-04-02,2,3011,Morning,3932,138,60.0,3.51
359,2026-05-31,3,3007,Afternoon,685,39,51.0,5.69
360,2026-06-27,2,3011,Afternoon,702,20,52.0,2.85
361,2026-04-11,3,3016,Night,1511,29,20.0,1.92
362,2026-04-27,3,3001,Afternoon,4252,53,8.0,1.25
363,2026-05-16,3,3005,Morning,2731,118,41.0,4.32
364,2026-06-23,2,3009,Night,4886,286,56.0,5.85
365,2026-06-02,3,3014,Morning,4390,28,95.0,0.64
366,2026-06-08,5,3011,Night,2863,130,55.0,4.54
367,2026-05-23,3,3007,Night,3459,193,29.0,5.58
368,2026-05-08,2,3011,Night,1788,16,31.0,0.89
369,2026-04-18,1,3018,Night,633,7,73.0,1.11
370,2026-06-17,2,3009,Morning,2113,90,52.0,4.26
371,2026-06-12,1,3016,Afternoon,3042,123,108.0,4.04
372,2026-04-03,1,3014,Afternoon,1074,9,52.0,0.84
373,2026-06-04,5,3005,Afternoon,1264,64,68.0,5.06
374,2026-04-08,1,3004,Night,271,9,7.0,3.32
375,2026-06-06,3,3014,Afternoon,3723,204,23.0,5.48
376,2026-06-14,5,3003,Morning,4517,240,102.0,5.31
377,2026-04-12,5,3006,Night,4171,207,41.0,4.96
378,2026-05-10,1,3004,Afternoon,2023,67,50.0,3.31
379,2026-04-12,1,3011,Night,3048,57,70.0,1.87
380,2026-05-22,2,3005,Morning,4811,157,6.0,3.26
381,2026-06-23,3,3012,Night,3038,32,60.0,1.05
382,2026-04-08,5,3017,Morning,1620,66,41.0,4.07
383,2026-05-06,2,3015,Afternoon,1825,22,17.0,1.21
384,2026-06-27,1,3018,Night,3690,122,50.0,3.31
385,2026-04-28,2,3000,Afternoon,2342,18,53.0,0.77
386,2026-04-12,5,3008,Morning,4219,90,22.0,2.13
387,2026-05-14,1,3004,Night,4347,77,65.0,1.77
388,2026-05-16,2,3017,Night,372,14,89.0,3.76
389,2026-05-30,1,3013,Morning,3671,177,32.0,4.82
390,2026-04-29,1,3006,Morning,1975,16,115.0,0.81
391,2026-06-26,5,3010,Morning,2694,139,73.0,5.16
392,2026-05-17,1,3011,Morning,1471,76,92.0,5.17
393,2026-04-26,2,3009,Afternoon,1967,46,8.0,2.34
394,2026-06-26,5,3009,Morning,1785,73,92.0,4.09
395,2026-06-23,4,3001,Night,441,11,40.0,2.49
396,2026-05-15,1,3008,Morning,3957,53,85.0,1.34
397,2026-04-03,3,3006,Afternoon,886,30,96.0,3.39
398,2026-05-24,5,3015,Afternoon,2003,19,30.0,0.95
399,2026-05-20,3,3016,Afternoon,1126,60,31.0,5.33
400,2026-04-14,3,3014,Morning,970,54,7.0,5.57
401,2026-05-28,3,3000,Afternoon,1992,99,72.0,4.97
402,2026-06-15,4,3015,Afternoon,4610,165,92.0,3.58
403,2026-04-10,1,3007,Afternoon,4731,168,49.0,3.55
404,2026-06-05,5,3007,Night,2032,120,19.0,5.91
405,2026-04-13,5,3017,Afternoon,2624,48,37.0,1.83
406,2026-06-07,1,3016,Afternoon,4931,45,48.0,0.91
407,2026-05-08,5,3000,Morning,1327,47,109.0,3.54
408,2026-04-01,5,3006,Morning,4734,109,14.0,2.3
409,2026-06-26,4,3014,Afternoon,707,16,41.0,2.26
410,2026-04-15,2,3010,Afternoon,1284,6,76.0,0.47
411,2026-05-24,3,3004,Night,1823,68,28.0,3.73
412,2026-04-17,5,3009,Night,378,7,106.0,1.85
413,2026-06-23,1,3016,Morning,4115,63,109.0,1.53
414,2026-06-06,5,3004,Afternoon,4305,31,45.0,0.72
415,2026-06-12,5,3014,Afternoon,2040,51,89.0,2.5
416,2026-05-09,4,3013,Morning,4214,224,90.0,5.32
417,2026-05-13,2,3016,Afternoon,3908,91,81.0,2.33
418,2026-05-28,3,3005,Afternoon,4046,171,22.0,4.23
419,2026-06-10,1,3004,Morning,4052,188,5.0,4.64
420,2026-06-16,5,3010,Afternoon,2952,68,41.0,2.3
421,2026-04-02,2,3010,Night,731,36,15.0,4.92
422,2026-05-30,1,3007,Morning,4632,199,35.0,4.3
423,2026-04-10,4,3014,Afternoon,3121,111,76.0,3.56
424,2026-04-26,4,3015,Morning,4526,22,70.0,0.49
425,2026-06-14,4,3004,Morning,4803,33,25.0,0.69
426,2026-04-23,1,3015,Night,1098,65,2.0,5.92
427,2026-06-11,4,3004,Afternoon,2130,102,27.0,4.79
428,2026-05-12,4,3007,Morning,1123,63,54.0,5.61
429,2026-04-21,4,3000,Afternoon,444,24,93.0,5.41
430,2026-05-01,5,3006,Morning,4838,29,43.0,0.6
431,2026-05-18,2,3018,Afternoon,4631,224,34.0,4.84
432,2026-06-08,2,3008,Morning,4672,139,66.0,2.98
433,2026-05-25,5,3013,Afternoon,4441,215,8.0,4.84
434,2026-06-23,3,3002,Afternoon,3314,17,27.0,0.51
435,2026-06-18,3,3012,Afternoon,2706,56,4.0,2.07
436,2026-06-07,2,3007,Afternoon,4959,229,63.0,4.62
437,2026-05-25,4,3014,Morning,2850,138,53.0,4.84
438,2026-04-27,4,3017,Morning,3283,128,69.0,3.9
439,2026-05-08,1,3010,Morning,1216,26,74.0,2.14
440,2026-04-11,3,3001,Afternoon,3784,83,47.0,2.19
441,2026-05-04,5,3009,Afternoon,4133,240,104.0,5.81
442,2026-06-23,2,3002,Night,3456,100,110.0,2.89
443,2026-05-09,2,3008,Morning,2593,76,13.0,2.93
444,2026-04-11,5,3001,Morning,1149,40,110.0,3.48
